Subject,Start Date,Start Time
Godziny dyspozycyjne w119 K,02/03/2020,8:00 AM
Analiza matematyczna waE S,02/03/2020,9:50 AM
Godziny dyspozycyjne w19 36,02/03/2020,1:30 PM
Protoko³y sieci teleinformatycznych w33 75,03/03/2020,1:30 PM
Kierowanie zespo³ami ludzkimi waE S,03/03/2020,3:45 PM
Kompatybilnoœæ elektromagnetyczna w315 S,04/03/2020,3:45 PM
Kompatybilnoœæ elektromagnetyczna w38 75,05/03/2020,8:00 AM
Programowalne uk³ady cyfrowe w38 75,05/03/2020,11:40 AM
Kierowanie zespo³ami ludzkimi waE S,06/03/2020,1:30 PM
Analiza matematyczna waE S,09/03/2020,9:50 AM
Inauguracja WEL w19 36,09/03/2020,11:40 AM
Inauguracja WEL w19 36,09/03/2020,1:30 PM
Teoria informacji i kodowania waE S,12/03/2020,8:00 AM
Programowalne uk³ady cyfrowe w38 75,12/03/2020,11:40 AM
Kompatybilnoœæ elektromagnetyczna w315 S,12/03/2020,5:35 PM
Systemy i us³ugi multimedialne w2 45,16/03/2020,8:00 AM
Analiza matematyczna waE S,16/03/2020,9:50 AM
Metody sztucznej inteligencji w2 45,16/03/2020,11:40 AM
Zagadnienia prawne w elektronice i telekomunikacji w38 75,16/03/2020,5:35 PM
Protoko³y sieci teleinformatycznych w33 75,17/03/2020,1:30 PM
Systemy i us³ugi multimedialne w2 45,18/03/2020,11:40 AM
Metody optymalizacji w38 75,18/03/2020,1:30 PM
Metody sztucznej inteligencji w2 45,18/03/2020,3:45 PM
Kompatybilnoœæ elektromagnetyczna waE S,19/03/2020,8:00 AM
Programowalne uk³ady cyfrowe waE S,19/03/2020,9:50 AM
Metody optymalizacji w38 75,19/03/2020,11:40 AM
Teoria informacji i kodowania waE S,19/03/2020,5:35 PM
Systemy i us³ugi multimedialne w2 45,23/03/2020,8:00 AM
Metody sztucznej inteligencji w2 45,24/03/2020,11:40 AM
Protoko³y sieci teleinformatycznych w33 75,24/03/2020,1:30 PM
Kierowanie zespo³ami ludzkimi waE S,24/03/2020,3:45 PM
Godziny dyspozycyjne waE S; S. K,25/03/2020,11:40 AM
Godziny dyspozycyjne waE S; S. K,25/03/2020,1:30 PM
Seminaria przeddyplomowe S33 75,27/03/2020,9:50 AM
Seminaria przeddyplomowe S33 75,27/03/2020,11:40 AM
Kierowanie zespo³ami ludzkimi waE S,27/03/2020,1:30 PM
Seminaria przeddyplomowe S33 75,27/03/2020,3:45 PM
Seminaria przeddyplomowe S33 75,27/03/2020,5:35 PM
Systemy i us³ugi multimedialne w2 45,30/03/2020,8:00 AM
Analiza matematyczna waE S,30/03/2020,9:50 AM
Systemy i us³ugi multimedialne w2 45,31/03/2020,9:50 AM
Analiza matematyczna æ120 45,31/03/2020,11:40 AM
Protoko³y sieci teleinformatycznych w33 75,31/03/2020,1:30 PM
Zagadnienia prawne w elektronice i telekomunikacji w38 75,31/03/2020,3:45 PM
Metody sztucznej inteligencji w2 45,31/03/2020,5:35 PM
Teoria informacji i kodowania waE S,31/03/2020,7:25 PM
Kierowanie zespo³ami ludzkimi æ117 47,01/04/2020,9:50 AM
Metody optymalizacji w38 75,01/04/2020,1:30 PM
Kompatybilnoœæ elektromagnetyczna waE S,02/04/2020,8:00 AM
Metody sztucznej inteligencji w2 45,02/04/2020,9:50 AM
Programowalne uk³ady cyfrowe w38 75,02/04/2020,11:40 AM
Zagadnienia prawne w elektronice i telekomunikacji w38 75,02/04/2020,1:30 PM
Systemy i us³ugi multimedialne w2 45,02/04/2020,3:45 PM
Programowalne uk³ady cyfrowe L17 45; 19,03/04/2020,8:00 AM
Programowalne uk³ady cyfrowe L17 45; 19,03/04/2020,9:50 AM
Kierowanie zespo³ami ludzkimi waE S,03/04/2020,1:30 PM
Analiza matematyczna waE S,06/04/2020,9:50 AM
Kierowanie zespo³ami ludzkimi æ117 47,06/04/2020,11:40 AM
Analiza matematyczna æ120 45,06/04/2020,1:30 PM
Metody sztucznej inteligencji w2 45,06/04/2020,3:45 PM
Zagadnienia prawne w elektronice i telekomunikacji w38 75,06/04/2020,5:35 PM
Protoko³y sieci teleinformatycznych L22 47; 119,07/04/2020,8:00 AM
Protoko³y sieci teleinformatycznych L22 47; 119,07/04/2020,9:50 AM
Analiza matematyczna æ120 45,07/04/2020,11:40 AM
Protoko³y sieci teleinformatycznych w33 75,07/04/2020,1:30 PM
Zagadnienia prawne w elektronice i telekomunikacji w38 75,07/04/2020,3:45 PM
Systemy i us³ugi multimedialne w2 45,07/04/2020,5:35 PM
Teoria informacji i kodowania waE S,07/04/2020,7:25 PM
Teoria informacji i kodowania waE S,08/04/2020,9:50 AM
Metody sztucznej inteligencji w2 45,08/04/2020,11:40 AM
Metody optymalizacji w38 75,08/04/2020,1:30 PM
Kompatybilnoœæ elektromagnetyczna waE S,09/04/2020,8:00 AM
Systemy i us³ugi multimedialne w2 45,09/04/2020,9:50 AM
Programowalne uk³ady cyfrowe w38 75,09/04/2020,11:40 AM
Zagadnienia prawne w elektronice i telekomunikacji w38 75,09/04/2020,1:30 PM
Metody optymalizacji w38 75,15/04/2020,1:30 PM
Analiza matematyczna æ120 45,15/04/2020,5:35 PM
Teoria informacji i kodowania waE S,16/04/2020,8:00 AM
Teoria informacji i kodowania waE S,16/04/2020,9:50 AM
Programowalne uk³ady cyfrowe w38 75,16/04/2020,11:40 AM
Zagadnienia prawne w elektronice i telekomunikacji w38 75,16/04/2020,1:30 PM
Teoria informacji i kodowania æ27 61,17/04/2020,9:50 AM
Kompatybilnoœæ elektromagnetyczna æ33 75,17/04/2020,11:40 AM
Kierowanie zespo³ami ludzkimi waE S,17/04/2020,1:30 PM
Analiza matematyczna waE S,20/04/2020,9:50 AM
Kierowanie zespo³ami ludzkimi æ117 47,20/04/2020,11:40 AM
Teoria informacji i kodowania æ27 61,20/04/2020,3:45 PM
Protoko³y sieci teleinformatycznych L22 47; 119,21/04/2020,8:00 AM
Protoko³y sieci teleinformatycznych L22 47; 119,21/04/2020,9:50 AM
Analiza matematyczna æ120 45,21/04/2020,11:40 AM
Protoko³y sieci teleinformatycznych w33 75,21/04/2020,1:30 PM
Metody sztucznej inteligencji L18 45,21/04/2020,3:45 PM
Metody sztucznej inteligencji L18 45,21/04/2020,5:35 PM
Metody optymalizacji æ103 61,22/04/2020,11:40 AM
Metody optymalizacji w38 75,22/04/2020,1:30 PM
Teoria informacji i kodowania waE S,22/04/2020,3:45 PM
Kompatybilnoœæ elektromagnetyczna waE S,23/04/2020,8:00 AM
Programowalne uk³ady cyfrowe w38 75,23/04/2020,11:40 AM
Metody optymalizacji w38 75,23/04/2020,1:30 PM
Zagadnienia prawne w elektronice i telekomunikacji w38 75,23/04/2020,3:45 PM
Programowalne uk³ady cyfrowe L17 45; 19,24/04/2020,8:00 AM
Programowalne uk³ady cyfrowe L17 45; 19,24/04/2020,9:50 AM
Kompatybilnoœæ elektromagnetyczna æ33 75,24/04/2020,11:40 AM
Kierowanie zespo³ami ludzkimi waE S,24/04/2020,1:30 PM
Analiza matematyczna æ120 45,24/04/2020,3:45 PM
Systemy i us³ugi multimedialne w2 45,24/04/2020,5:35 PM
Analiza matematyczna waE S,27/04/2020,9:50 AM
Kierowanie zespo³ami ludzkimi æ117 47,27/04/2020,11:40 AM
Metody optymalizacji æ27 61,28/04/2020,8:00 AM
Analiza matematyczna æ120 45,28/04/2020,11:40 AM
Protoko³y sieci teleinformatycznych w33 75,28/04/2020,1:30 PM
Kompatybilnoœæ elektromagnetyczna L118 75,28/04/2020,3:45 PM
Kompatybilnoœæ elektromagnetyczna L118 75,28/04/2020,5:35 PM
Systemy i us³ugi multimedialne L12 47; 35,29/04/2020,8:00 AM
Systemy i us³ugi multimedialne L12 47; 35,29/04/2020,9:50 AM
Zagadnienia prawne w elektronice i telekomunikacji w38 75,29/04/2020,11:40 AM
Metody optymalizacji w38 75,29/04/2020,1:30 PM
Kompatybilnoœæ elektromagnetyczna waE S,30/04/2020,8:00 AM
Zagadnienia prawne w elektronice i telekomunikacji æ117 47,30/04/2020,9:50 AM
Programowalne uk³ady cyfrowe w38 75,30/04/2020,11:40 AM
Systemy i us³ugi multimedialne w2 45,30/04/2020,1:30 PM
Systemy i us³ugi multimedialne S117 47,04/05/2020,8:00 AM
Analiza matematyczna waE S,04/05/2020,9:50 AM
Kierowanie zespo³ami ludzkimi æ117 47,04/05/2020,11:40 AM
Systemy i us³ugi multimedialne w2 45,04/05/2020,1:30 PM
Teoria informacji i kodowania æ27 61,04/05/2020,3:45 PM
Protoko³y sieci teleinformatycznych L22 47; 119,05/05/2020,8:00 AM
Protoko³y sieci teleinformatycznych L22 47; 119,05/05/2020,9:50 AM
Teoria informacji i kodowania waE S,05/05/2020,7:25 PM
Teoria informacji i kodowania waE S,06/05/2020,9:50 AM
Zagadnienia prawne w elektronice i telekomunikacji w38 75,06/05/2020,11:40 AM
Metody optymalizacji w38 75,06/05/2020,1:30 PM
Metody sztucznej inteligencji L18 45,06/05/2020,3:45 PM
Metody sztucznej inteligencji L18 45,06/05/2020,5:35 PM
Kompatybilnoœæ elektromagnetyczna waE S,07/05/2020,8:00 AM
Zagadnienia prawne w elektronice i telekomunikacji w38 75,07/05/2020,9:50 AM
Programowalne uk³ady cyfrowe w38 75,07/05/2020,11:40 AM
Analiza matematyczna waE S,11/05/2020,9:50 AM
Zagadnienia prawne w elektronice i telekomunikacji æ117 47,11/05/2020,11:40 AM
Programowalne uk³ady cyfrowe L17 45; 19,12/05/2020,8:00 AM
Programowalne uk³ady cyfrowe L17 45; 19,12/05/2020,9:50 AM
Analiza matematyczna æ120 45,12/05/2020,11:40 AM
Kompatybilnoœæ elektromagnetyczna æ33 75,12/05/2020,1:30 PM
Systemy i us³ugi multimedialne L12 47; 35,13/05/2020,11:40 AM
Systemy i us³ugi multimedialne L12 47; 35,13/05/2020,1:30 PM
Teoria informacji i kodowania w38 75,14/05/2020,8:00 AM
Teoria informacji i kodowania æ27 61,15/05/2020,11:40 AM
Kierowanie zespo³ami ludzkimi waE S,15/05/2020,1:30 PM
Systemy i us³ugi multimedialne S117 47,18/05/2020,8:00 AM
Analiza matematyczna waE S,18/05/2020,9:50 AM
Metody optymalizacji L116 61,18/05/2020,11:40 AM
